Language,Title
en,A priori and a posteriori
ar,بداهة واستدلال
ast,A priori y a posteriori
bn,অভিজ্ঞতা-নিরপেক্ষ ও অভিজ্ঞতা-সাপেক্ষ
ca,A priori a posteriori
el,A priori και a posteriori γνώση
es,A priori y a posteriori
eo,A priori kaj a posteriori
eu,A priori eta a posteriori
fa,پسینی و پیشینی
fr,A priori et a posteriori
ko,아 프리오리와 아 포스테리오리
hi,प्रागनुभविक और अनुभवाश्रित
it,A priori e a posteriori
he,אפריורי ואפוסטריורי
lv,A priori un a posteriori
ml,"അനുഭവ നിരപേക്ഷം, അനുഭവ സാപേക്ഷം"
nb,A priori og a posteriori
pt,A priori e a posteriori
ro,A priori și a posteriori
scn,A priuri e a pustiriuri
en-simple,A priori and a posteriori
ckb,پێشینی و پاشینی
fi,A priori ja a posteriori
tr,A priori ve a posteriori
uk,A priori і a posteriori
ur,بنفسیہ و بمثلیہ
yue,先驗同後驗
zh,先驗與後驗
