Language,Title
en,Abelian group
af,Abelse groep
ar,زمرة أبيلية
ast,Grupu abelianu
bn,আবেলীয় গ্রুপ
ba,Абель төркөмө
be,Абелева група
bg,Абелова група
ca,Grup abelià
cs,Abelova grupa
da,Abelsk gruppe
de,Abelsche Gruppe
et,Abeli rühm
el,Αβελιανή ομάδα
es,Grupo abeliano
eo,Komuta grupo
eu,Talde abeldar
fa,گروه آبلی
fr,Groupe abélien
gl,Grupo abeliano
ko,아벨 군
hy,Աբելյան խումբ
hr,Abelova grupa
id,Grup Abelian
ia,Gruppo abelian
it,Gruppo abeliano
he,חבורה אבלית
la,Caterva Abeliana
hu,Abel-csoport
ml,ക്രമഗ്രൂപ്പ്
ms,Kumpulan Abel
nl,Abelse groep
ja,アーベル群
nb,Abelsk gruppe
nn,Abelsk gruppe
nov,Abelan grupe
pl,Grupa przemienna
pt,Grupo abeliano
kaa,Abel toparı
ro,Grup abelian
ru,Абелева группа
en-simple,Abelian group
sk,Abelovská grupa
sl,Abelova grupa
ckb,گرووپی ئاڵوگۆڕی
sr,Абелова група
sh,Abelova grupa
fi,Abelin ryhmä
sv,Abelsk grupp
ta,பரிமாற்றுக் குலம்
tr,Abel grubu
uk,Абелева група
vi,Nhóm giao hoán
lzh,交換群
yue,阿貝爾羣
zh,阿贝尔群
