Language,Title
en,Absolute geometry
ar,هندسة مطلقة
ca,Geometria absoluta
de,Absolute Geometrie
es,Geometría absoluta
eo,Absoluta geometrio
fa,هندسه مطلق
fr,Géométrie absolue
ko,절대기하학
id,Geometri mutlak
it,Geometria assoluta
ka,აბსოლუტური გეომეტრია
ky,Абсолюттук геометрия
ms,Geometri mutlak
nl,Absolute meetkunde
nb,Nøytral geometri
pl,Geometria absolutna
ro,Geometrie absolută
ru,Абсолютная геометрия
sk,Absolútna geometria
sr,Apsolutna geometrija
tg,Ҳандасаи мутлақ
tk,Absolýut geometriýa
uk,Абсолютна геометрія
