Language,Title
en,Addition
af,Optel
gsw,Addition
ar,جمع
an,Suma
as,যোগ
ast,Adición (matemática)
az,Toplama
azb,توپلاما
bn,যোগ
nan,Ka-hoat
ba,Ҡушыу
be,Складанне
be-tarask,Складаньне
bcl,Pagdugang
bg,Събиране
bo,སྣོན་རྩིས།
bs,Sabiranje
br,Sammadur
bxr,Нэмэлтэ
ca,Suma
cv,Хушасси
cs,Sčítání
sn,Kukumbanidza (Masvomhu)
cy,Adio
da,Addition
de,Addition
et,Liitmine
el,Πρόσθεση
es,Adición (matemática)
eo,Adicio
eu,Batuketa
fa,جمع (ریاضی)
fr,Addition
gd,Cur-ris
gl,Suma
gan,加法
gu,સરવાળો
hak,Kâ-fap
xal,Немлеһан
ko,덧셈
hy,Գումարում
hi,जोड़
hr,Zbrajanje
io,Adiciono
id,Penambahan
ia,Addition
ik,Iḷaraġaġniq
xh,Ukudibanisa/Ukongeza
zu,Addition
is,Samlagning
it,Addizione
he,חיבור
jv,Panambahan
kn,ಸಂಕಲನ
kk,Қосу
sw,Jumla
gcr,Adisyon
ky,Кошуу
la,Additio
lv,Saskaitīšana
lt,Sudėtis
nia,Famonönö
jbo,sumji
lmo,Somma
hu,A természetes számok összeadása
mk,Собирање
ml,സങ്കലനം
mr,बेरीज
arz,جمع
ms,Penambahan
cdo,Gă-huák
my,ပေါင်းခြင်း (သင်္ချာ)
fj,Ikuri
nl,Optellen
new,तनेज्या
ja,加法
nb,Addisjon
nn,Addisjon
nov,Aditione
oc,Addicion
or,ମିଶାଣ
uz,Qoʻshish
pa,ਜੋੜ
ps,جمع
jam,Adishan
pl,Dodawanie
pt,Adição
ro,Adunare
qu,Yapay
ru,Сложение
sg,Ndömbâ
sat,ᱥᱮᱞᱮᱫ
sq,Mbledhja (matematikë)
scn,Addizzioni
en-simple,Addition
sd,جوڙ (حساب)
sk,Sčítanie
sl,Seštevanje
szl,Dodowańy
ckb,کۆکردنەوە
sr,Сабирање
sh,Sabiranje
fi,Yhteenlasku
sv,Addition
tl,Pagdaragdag
ta,கூட்டல் (கணிதம்)
te,కూడిక
th,การบวก
tr,Toplama
uk,Додавання
ug,قوشۇش
za,Gyafap
vec,Xonta
vi,Phép cộng
war,Pagdugang-dugang
wuu,加法
yi,צוגאב
yo,Ìròpọ̀
yue,加
zh,加法
