Language,Title
en,Additive inverse
ar,معكوس جمعي
as,যোগাত্মক বিপৰীত সংখ্যা
bn,যোগাত্মক বিপরীত সংখ্যা
be,Супрацьлеглы лік
be-tarask,Супрацьлеглы лік
ca,Oposat (matemàtiques)
cv,Хирĕçле хисеп
cs,Opačné číslo
de,Gegenzahl
et,Vastandarv
el,Αντίθετος αριθμός
es,Opuesto
eo,Adicia inverso
eu,Aurkako elementu
fa,وارون جمعی
fr,Opposé (mathématiques)
ko,덧셈 역원
id,Invers aditif
is,Samlagningarandhverfa
it,Opposto (matematica)
he,מספר נגדי
hu,Ellentett
nl,Tegengestelde (wiskunde)
ja,反数
pl,Liczba przeciwna
ro,Element opus
ru,Противоположное число
en-simple,Opposite number
sk,Opačné číslo
sl,Nasprotna vrednost
fi,Vastaluku
sv,Additiv invers
tl,Kabaligtarang pandagdag
ta,கூட்டல் நேர்மாறு
th,ตัวผกผันการบวก
tg,Ададҳои муқобил
tr,Toplamaya göre ters
uk,Протилежне число
vi,Nghịch đảo phép cộng
wuu,加法逆元
yue,加法逆元
zh,加法逆元
