Language,Title
en,Affine geometry
ar,هندسة تآلفية
be,Афінная геаметрыя
be-tarask,Афінная геамэтрыя
bg,Афинна геометрия
ca,Geometria afí
cs,Afinní geometrie
de,Affine Geometrie
el,Oμοπαραλληλική γεωμετρία
es,Geometría afín
fa,هندسه آفین
fr,Géométrie affine
ko,아핀 기하학
io,Afina geometrio
id,Geometri afin
it,Geometria affine
kk,Аффиндік геометрия
ky,Аффиндик геометрия
hu,Affin geometria
ml,അഫൈൻ ജ്യാമിതി
ms,Geometri afin
nl,Affiene meetkunde
ja,アフィン幾何学
nb,Affin geometri
nn,Affin geometri
uz,Affin geometriya
pl,Geometria afiniczna
pt,Geometria afim
ro,Geometrie afină
ru,Аффинная геометрия
sd,افائين جاميٽري
sl,Afina geometrija
tg,Ҳандасаи ҳамгар
uk,Афінна геометрія
vi,Hình học afin
yue,仿射幾何
zh,仿射几何学
