Language,Title
en,Algebra over a field
ar,جبر على حقل
bg,Алгебра над поле
ca,Àlgebra sobre un cos
cv,Алгебра (уй çийĕн)
cs,Algebra (struktura)
de,Algebra über einem Körper
es,Álgebra sobre un cuerpo
eo,Alĝebro
fa,جبر روی یک میدان
fr,Algèbre sur un corps
id,Aljabar atas medan
ia,Algebra super un corpore
it,Algebra su campo
nl,Algebra (structuur)
ja,体上の多元環
nn,Algebra over ein kropp
pl,Algebra nad ciałem
pt,Álgebra sobre um corpo
ro,Algebră peste un corp
ru,Алгебра над полем
sv,Algebra över en kropp
uk,Алгебра над полем
vi,Đại số trên một trường
lzh,代數 (代數)
yue,代數 (代數結構)
zh,域上的代数
