Language,Title
en,Algebraic geometry
ar,هندسة جبرية
ast,Xeometría alxebraica
bn,বীজগাণিতিক জ্যামিতি
ba,Алгебраик геометрия
be,Алгебраічная геаметрыя
be-tarask,Альгебраічная геамэтрыя
bg,Алгебрична геометрия
br,Mentoniezh aljebrek
ca,Geometria algebraica
cv,Алгебрăллă геометри
cs,Algebraická geometrie
cy,Geometreg algebraidd
de,Algebraische Geometrie
el,Αλγεβρική γεωμετρία
es,Geometría algebraica
eo,Algebra geometrio
eu,Geometria aljebraiko
fa,هندسه جبری
fr,Géométrie algébrique
ga,Geoiméadracht ailgéabrach
gl,Xeometría alxébrica
ko,대수기하학
hy,Հանրահաշվական երկրաչափություն
hi,बीजीय ज्यामिति
hr,Algebarska geometrija
id,Geometri aljabar
it,Geometria algebrica
he,גאומטריה אלגברית
ka,ალგებრული გეომეტრია
kk,Алгебралық геометрия
ky,Алгебралык геометрия
lt,Algebrinė geometrija
ms,Geometri algebra
mn,Алгебрлиг геометр
my,အက္ခရာသင်္ချာနည်းကျ ဂျီဩမေတြီ
nl,Algebraïsche meetkunde
ja,代数幾何学
nb,Algebraisk geometri
nn,Algebraisk geometri
uz,Algebraik geometriya
pl,Geometria algebraiczna
pt,Geometria algébrica
ro,Geometrie algebrică
ru,Алгебраическая геометрия
scn,Giomitrìa algèbbrica
en-simple,Algebraic geometry
sk,Algebrická geometria
sl,Algebrska geometrija
ckb,ئەندازەی جەبری
sr,Algebarska geometrija
fi,Algebrallinen geometria
sv,Algebraisk geometri
tl,Alhebraikong heometriya
ta,இயற்கணித வடிவவியல்
th,เรขาคณิตเชิงพีชคณิต
tg,Ҳандасаи ҷабрӣ
tr,Cebirsel geometri
uk,Алгебрична геометрія
vi,Hình học đại số
wuu,代数几何
yue,代數幾何
zh,代数几何
