Language,Title
ar,متسلسلة متناوبة
bs,Alternativni red
ca,Sèrie alternada
cv,Плюс-минус черетленĕвĕллĕ рет
de,Alternierende Reihe
es,Serie alternada
eo,Alterna serio
fr,Série alternée
ko,교대급수
hi,प्रत्यावर्ती श्रेणी
id,Deret selang-seling
it,Serie alternata
kk,Ауыспа таңбалы қатар
mk,Алтернативен ред
nl,Alternerende reeks
ja,交項級数
nn,Alternerande rekkje
pl,Szereg naprzemienny
pt,Série alternada
ru,Знакочередующийся ряд
fi,Vuorotteleva sarja
sv,Alternerande serie
th,อนุกรมสลับ
tr,Almaşık seri
uk,Знакопереміжний ряд
yue,交錯級數
zh,交错级数
