Language,Title
en,Analytic geometry
af,Analitiese meetkunde
gsw,Analytische Geometrie
ar,هندسة تحليلية
as,স্থানাংক জ্যামিতি
ast,Xeometría analítica
az,Analitik həndəsə
azb,تحلیلی هندسه
bn,স্থানাঙ্ক জ্যামিতি
ba,Аналитик геометрия
be,Аналітычная геаметрыя
be-tarask,Аналітычная геамэтрыя
bg,Аналитична геометрия
ca,Geometria analítica
cv,Аналитикăллă геометри
cs,Analytická geometrie
cy,Geometreg ddadansoddol
da,Analytisk geometri
de,Analytische Geometrie
et,Analüütiline geomeetria
el,Αναλυτική γεωμετρία
es,Geometría analítica
eo,Analitika geometrio
eu,Geometria analitiko
fa,هندسه تحلیلی
fr,Géométrie analytique
ga,Geoiméadracht anailíseach
gl,Xeometría analítica
ko,해석기하학
hy,Անալիտիկ երկրաչափություն
hi,वैश्‍लेषिक ज्यामिति
hr,Analitička geometrija
io,Analitikala geometrio
id,Geometri analitis
it,Geometria analitica
he,גאומטריה אנליטית
kk,Аналитикалық геометрия
ky,Аналитикалык геометрия
la,Geometria analytica
lv,Analītiskā ģeometrija
lt,Analizinė geometrija
hu,Koordinátageometria
mk,Аналитичка геометрија
ml,വിശ്ലേഷകജ്യാമിതി
mn,Аналитик геометр
nl,Analytische meetkunde
ja,解析幾何学
nb,Analytisk geometri
nn,Analytisk geometri
uz,Analitik geometriya
pms,Geometrìa analìtica
pl,Geometria analityczna
pt,Geometria analítica
kaa,Analitikalıq geometriya
ro,Geometrie analitică
ru,Аналитическая геометрия
sco,Analytic geometry
en-simple,Analytic geometry
sk,Analytická geometria
ckb,ئەندازەی شیکارانە
sr,Аналитичка геометрија
sh,Analitička geometrija
fi,Analyyttinen geometria
sv,Analytisk geometri
tl,Analitikong heometriya
ta,பகுமுறை வடிவவியல்
th,เรขาคณิตวิเคราะห์
tg,Ҳандасаи таҳлилӣ
tr,Analitik geometri
uk,Аналітична геометрія
ur,تحلیلی ہندسہ
vi,Hình học giải tích
lzh,坐標幾何
wuu,解析几何
yue,解析幾何
zh,解析几何
