Language,Title
en,Analytic-synthetic distinction
ar,تمييز تحليلي اصطناعي
et,Sünteetiline propositsioon
es,Distinción analítico-sintético
fa,گزاره تحلیلی–ترکیبی
ko,분석-종합 구분
hi,विश्लेषणात्मक–संश्लेषणात्मक प्रतिज्ञप्ति भेद
it,Analisi e sintesi
he,ההבחנה אנליטי-סינתטי
nl,Analytisch en synthetisch oordeel
pt,Distinção analítico-sintética
scn,Distinziuni analiticu-sintetica
ckb,شیتەڵ و تێکەڵ
fi,Analyyttinen ja synteettinen
tr,Analitik-sentetik ayrımı
uk,Аналітичні і синтетичні судження
yue,分析-綜合區別
zh,分析-綜合區別
