Language,Title
en,And (logic)
ar,عطف منطقي
bg,Конюнкция
bs,Konjunkcija sudova
ca,Conjunció lògica
cs,Konjunkce (logika)
da,Konjunktion (logik)
de,Konjunktion (Logik)
et,Konjunktsioon
egl,Congiunsiòun lògica
es,Conjunción lógica
eo,Konjunkcio (logiko)
eu,Konjuntzio logiko
fa,عطف منطقی
fr,Conjonction logique
ko,논리곱
hy,Կոնյունկցիա
id,Logika konjungsi
it,Congiunzione logica
he,וגם (לוגיקה)
kk,Конъюнкция
ky,Конъюнкция
lt,Konjunkcija (logika)
lmo,Dobi
hu,Konjunkció (logika)
mk,Логичка конјункција
nl,Logische conjunctie
ja,論理積
nb,Konjunksjon (logikk)
pms,Congionsion
pl,Koniunkcja (logika)
pt,Conjunção lógica
ru,Конъюнкция
sq,Konjuksioni
en-simple,Logical conjunction
sk,Konjunkcia (logika)
sl,Konjunkcija (logika)
sr,Логичка конјункција
sh,Logička konjunkcija
fi,Konjunktio (logiikka)
sv,Konjunktion (logik)
th,การเชื่อมเชิงตรรกศาสตร์
uk,Кон'юнкція
yue,邏輯與
zh,逻辑与
