Language,Title
en,Angle
kbd,ПлӀанэпэ
af,Hoek (meetkunde)
gsw,Winkel (Geometrie)
ar,زاوية (هندسة)
an,Anglo
arc,ܙܘܝܬܐ (ܡܚܪܘܬܐ)
hyw,Անկիւն
as,কোণ
ast,Ángulu
gn,Takamby
ay,K'uchu
az,Bucaq
azb,آچی
bn,কোণ
nan,Kak-tō͘
ba,Мөйөш
be,Вугал
be-tarask,Кут
bcl,Anggulo
bg,Ъгъл
bs,Ugao
br,Korn (mentoniezh)
bxr,Үнсэг
ca,Angle
cv,Кĕтес
cs,Úhel
sn,Gonyo
cy,Ongl
da,Vinkel
de,Winkel
et,Nurk
el,Γωνία
myv,Ужо
es,Ángulo
eo,Angulo
eu,Angelu (geometria)
fa,زاویه
fr,Angle
ga,Uillinn (matamaitic)
gd,Ceàrn (Matamataig)
gl,Ángulo
gan,角
ko,각 (수학)
hy,Անկյուն
hi,कोण
hr,Kut
io,Angulo
ilo,Anggulo
id,Sudut (geometri)
ia,Angulo
zu,Ingoni
is,Horn (rúmfræði)
it,Angolo
he,זווית
kn,ಕೋನ
ka,კუთხე
kk,Бұрыш (геометрия)
kw,Angle
sw,Pembe (jiometria)
ht,Ang
gcr,Ang
ku,Hoke
ky,Бурч
la,Angulus
lv,Leņķis
lt,Kampas
li,Hook
ln,Litúmu
lmo,Angol
hu,Szög
mk,Агол
mg,Zoro (jeômetria)
ml,കോൺ
mr,कोन
xmf,კუნთხუ
arz,زاويه (هندسه)
ms,Sudut
mn,Өнцөг (геометр)
my,ထောင့်
fj,Tutuni
nl,Hoek (meetkunde)
ne,कोण
new,कुं
ja,角度
nqo,ߞߋ߲ߛߐ߲
frr,Winkel
nb,Vinkel
nn,Vinkel
oc,Angle
mhr,Лук
uz,Burchak
pa,ਕੋਨ
pnb,زاویا
ps,زاويه
jam,Hanggl
km,មុំ
pl,Kąt
pt,Ângulo
crh,Muyuş
ro,Unghi
qu,Chhuka
ru,Угол
sah,Муннук
sq,Këndi
scn,Ànculu
si,කෝණය
en-simple,Angle
sk,Uhol
sl,Kot
cu,Ѫгълъ
so,Xagal
ckb,گۆشە
sr,Угао
sh,Ugao
su,Juru (élmu ukur)
fi,Kulma
sv,Vinkel
tl,Anggulo
ta,கோணம்
tt,Почмак
te,కోణం
th,มุม
chr,ᎤᏜᏅᏛ ᎤᏞᏴᏍᏛ
tr,Açı
uk,Кут
ur,زاویہ
vi,Góc
lzh,角
war,Anggulo
wuu,角
yi,ווינקל
yue,角 (幾何)
zh,角
