Language,Title
ar,مشتق عكسي
az,İbtidai funksiya
be,Першаісная
ca,Primitiva
cv,Функцин умсăнарĕ
cs,Primitivní funkce
da,Stamfunktion
de,Stammfunktion
es,Integración indefinida
eo,Malderivaĵo
eu,Jatorrizko funtzio
fa,پاد مشتق
fr,Primitive
ko,부정적분
hy,Ֆունկցիայի նախնական
hi,आद्य समाकल
id,Integral tak tentu
is,Stofnfall
it,Primitiva (matematica)
kk,Алғашқы функция
lt,Pirmykštė funkcija
lmo,Primitiva (matematega)
mk,Примитивна функција
nl,Primitieve functie
ja,不定積分
nb,Primitiv funksjon
km,អាំងតេក្រាលមិនកំនត់
pl,Funkcja pierwotna
pt,Primitiva
ro,Primitivă
ru,Первообразная
en-simple,Antiderivative
sk,Primitívna funkcia
sl,Primitivna funkcija
ckb,دژەگرتە
sr,Примитивна функција
sh,Primitivna funkcija
fi,Integraalifunktio
sv,Primitiv funktion
tt,Баштагы функция
th,ปฏิยานุพันธ์
tr,İlkel fonksiyon
uk,Первісна
ur,مشتق شکن
vec,Antiderivada
vi,Nguyên hàm
zh,不定积分
