Language,Title
en,Antinomy
ar,التضاد
az,Antinomiya
bg,Антиномия
cs,Antinomie
da,Antinomi
de,Antinomie
et,Antinoomia
es,Antinomia
eo,Antinomio
fa,تعارض (فلسفه)
fr,Antinomie
gl,Antinomia
ko,이율배반
hy,Անտինոմիա
io,Antinomio
ia,Antinomia
it,Antinomia
he,אנטינומיה
ka,ანტინომია
kk,Антиномия
ky,Антиномия
la,Antinomia
lv,Antinomija
lt,Antinomija
hu,Antinómia
nl,Antinomie
ja,二律背反
uz,Antinomiya
pl,Antynomia
pt,Antinomia
ru,Антиномия
sk,Antinómia
sr,Антиномија
fi,Antinomia
sv,Antinomi
tr,Çatışkı
uk,Антиномія
yue,二律背反
zh,二律背反
