Language,Title
en,Arithmetic–geometric mean
ar,متوسط حسابي هندسي
ca,Mitjana aritmètico-geomètrica
cs,Aritmeticko-geometrický průměr
de,Arithmetisch-geometrisches Mittel
es,Media aritmético-geométrica
eu,Batezbesteko aritmetiko-geometriko
fr,Moyenne arithmético-géométrique
gl,Media aritmética xeométrica
ko,산술 기하 평균
id,Rata-rata aritmetika–geometrik
he,ממוצע אריתמטי-גאומטרי
hu,Számtani-mértani közép
ja,算術幾何平均
km,មធ្យមនព្វន្ធ-ធរណីមាត្រ
pl,Średnia arytmetyczno-geometryczna
pt,Média aritmética-geométrica
ru,Среднее арифметико-геометрическое
sl,Aritmetično-geometrična sredina
sv,Aritmetisk-geometriskt medelvärde
uk,Середнє арифметико-геометричне
zh,算术-几何平均数
