Language,Title
en,Associativity
ar,عملية تجميعية
ast,Asociatividá
ba,Ассоциативлыҡ (математика)
be,Асацыятыўная аперацыя
bg,Асоциативност
bs,Asocijativnost
ca,Propietat associativa
cs,Asociativita
da,Associativitet
de,Assoziativgesetz
et,Assotsiatiivsus
el,Προσεταιριστική ιδιότητα
es,Asociatividad (álgebra)
eo,Asocieco
eu,Elkarkortasun
fa,خاصیت شرکت‌پذیری
fr,Associativité
ga,Oibríocht chomhthiomsaitheach
gl,Asociatividade (álxebra)
ko,결합법칙
hy,Զուգորդականություն
hr,Asocijativnost
id,Sifat asosiatif
ia,Associativitate
is,Tengiregla
it,Associatività
he,פעולה אסוציאטיבית
kk,Ассоциативтік операция
la,Associativitas (mathematica)
lv,Asociativitāte
lt,Asociatyvumas
hu,Asszociativitás
mk,Асоцијативност
ml,സാഹചര്യനിയമം
ms,Kalis sekutuan
nl,Associativiteit (wiskunde)
ja,結合法則
frr,Asotsiatiifgesets
nb,Assosiativ lov
nn,Assosiativitet
oc,Associativitat
uz,Assotsiativlik
pl,Łączność (matematyka)
pt,Associatividade
ro,Asociativitate
ru,Ассоциативность (математика)
en-simple,Associativity
sk,Asociatívnosť
sl,Asociativnost
ckb,یەکتربەستن
sr,Асоцијативност
sh,Asocijativnost
fi,Liitännäisyys
sv,Associativitet
ta,சேர்ப்புப் பண்பு
tt,Ассоциативлык
th,สมบัติการเปลี่ยนหมู่
tr,Birleşme özelliği (ikili işlemler)
uk,Асоціативність
vec,Propietà asociativa
vi,Tính kết hợp
wuu,结合律
yi,אסאציאטיוויטעט
yue,結合律
zh,结合律
