Language,Title
en,Basis (linear algebra)
ar,قاعدة (جبر خطي)
be,Базіс
bg,Базис
bar,Basis (Vektorraum)
bs,Baza (linearna algebra)
ca,Base (àlgebra)
cv,Базис
cs,Báze (lineární algebra)
de,Basis (Vektorraum)
et,Baas (matemaatika)
es,Base (álgebra)
eo,Bazo (lineara algebro)
eu,Oinarri (aljebra)
fa,پایه (جبر خطی)
fr,Base (algèbre linéaire)
gl,Base (álxebra linear)
ko,기저 (선형대수학)
hr,Baza (linearna algebra)
id,Basis (aljabar linear)
it,Base (algebra lineare)
he,בסיס (אלגברה)
kk,Базис
lmo,Bas (algebra lineara)
hu,Bázis (lineáris algebra)
nl,Basis (lineaire algebra)
ja,基底 (線型代数学)
nb,Basis (matematikk)
nn,Basis i matematikk
pl,Baza (przestrzeń liniowa)
pt,Base (álgebra linear)
ro,Bază (algebră liniară)
ru,Базис
en-simple,Basis (linear algebra)
sk,Báza (vektorový priestor)
sl,Baza (linearna algebra)
sr,База (линеарна алгебра)
sh,Baza (linearna algebra)
fi,Kanta (lineaarialgebra)
sv,Bas (linjär algebra)
ta,திசையன் வெளியின் அடுக்களம்
tr,Taban (lineer cebir)
uk,Базис (математика)
ur,بنیاد سمتیہ
vi,Cơ sở (đại số tuyến tính)
yue,基向量
zh,基 (線性代數)
