Language,Title
en,Bibliothèque et Archives nationales du Québec
ar,مكتبة وأرشيف كيبيك
de,Bibliothèque et Archives nationales du Québec
el,Βιβλιοθήκη και τα Εθνικά Αρχεία του Κεμπέκ
es,Biblioteca y archivos nacionales de Quebec
eo,Nacia Biblioteko kaj Arkivoj de Kebekio
fa,کتابخانه و بایگانی ملی کبک
fr,Bibliothèque et Archives nationales du Québec
it,Bibliothèque et Archives nationales du Québec
he,הספרייה והארכיונים הלאומיים של קוויבק
pl,Biblioteka narodowa Quebecu
pt,Biblioteca e Arquivos Nacionais do Quebec
fi,Quebecin kansalliskirjasto ja -arkisto
