Language,Title
en,Binary operation
ar,عملية ثنائية
ast,Operación binaria
bn,অপারেশন (গণিত)
be,Бінарная аперацыя
bg,Бинарна операция
bs,Binarna operacija
ca,Operació binària
cv,Бинарлă операци
cs,Binární operace
da,Binær operator
de,Zweistellige Verknüpfung
et,Binaarne tehe
el,Δυαδική πράξη
es,Operación binaria
eo,Duvalenta operacio
eu,Eragiketa bitar
fa,عمل دوتایی
fr,Opération binaire
gd,Obrachadh càraideach
gl,Operación binaria
xal,Бинарн операция
ko,이항 연산
hr,Binarna operacija
id,Operasi biner
ia,Operation binari
is,Aðgerð (stærðfræði)
it,Operazione binaria
he,פעולה בינארית
ku,Kiryar (matematîk)
lv,Bināra operācija
ml,ദ്വയാങ്കസംക്രിയ
ms,Operasi dedua
min,Operasi biner
nl,Binaire operatie
ja,二項演算
nb,Binær operasjon
nn,Binær operasjon
oc,Lèi de composicion intèrna
pms,Operassion
pl,Działanie dwuargumentowe
pt,Operação binária
ro,Operație binară
ru,Бинарная операция
scn,Opirazzioni binaria
en-simple,Binary operation
sk,Binárna operácia
sl,Dvočlena operacija
ckb,کردار (بیرکاری)
sr,Бинарна операција
sh,Binarna operacija
fi,Binäärioperaatio
sv,Binär operator
tl,Operasyong tambalan
ta,ஈருறுப்புச் செயலி
th,การดำเนินการทวิภาค
tr,İkili işlem
uk,Бінарна операція
vi,Phép toán hai ngôi
lzh,二元運算
wuu,二元运算
yi,בינארישע אפעראציע
yue,二元運算
zh,二元运算
