Language,Title
en,Cartesian product
am,ርቢ ስብስብ
ar,جداء ديكارتي
be,Дэкартаў здабытак
be-tarask,Дэкартавы здабытак
bg,Декартово произведение
ca,Producte cartesià
cs,Kartézský součin
da,Kartesisk produkt
de,Kartesisches Produkt
et,Otsekorrutis
el,Καρτεσιανό γινόμενο
es,Producto cartesiano
eo,Kartezia produto
eu,Biderketa kartesiar
fa,ضرب دکارتی
fr,Produit cartésien
ga,Iolrach Cairtéiseach
gd,Toradh Cartesach
gl,Produto cartesiano
ko,곱집합
hi,कार्तीय गुणन
hr,Kartezijev umnožak
id,Produk Cartesius
ia,Producto cartesian
is,Faldmengi
it,Prodotto cartesiano
he,מכפלה קרטזית
ka,დეკარტული ნამრავლი
lv,Dekarta reizinājums
lt,Dekarto sandauga
lmo,Prodott cartesian
hu,Descartes-szorzat
mk,Декартов производ
ms,Hasil darab Descartes
mwl,Perduto cartesiano
nl,Cartesisch product
ja,直積集合
nb,Kartesisk produkt
nn,Kartesisk produkt
oc,Produch cartesian
pms,Prodot cartesian
pl,Iloczyn kartezjański
pt,Produto cartesiano
ro,Produs cartezian
ru,Прямое произведение
en-simple,Cartesian product
sk,Karteziánsky súčin
sl,Kartezični produkt
ckb,لێکدانی دێکارتی
sr,Декартов производ
sh,Dekartov proizvod
fi,Karteesinen tulo
sv,Cartesisk produkt
tl,Produktong Cartesian
ta,கார்ட்டீசியன் பெருக்கற்பலன்
th,ผลคูณคาร์ทีเซียน
tr,Kartezyen çarpımı
uk,Декартів добуток множин
vi,Tích Descartes
lzh,直積
vls,Cartesisch product
wuu,笛卡儿积
yue,笛卡兒積
zh,笛卡儿积
