Language,Title
en,Category (mathematics)
af,Kategorie (wiskunde)
ar,فئة (رياضيات)
be-tarask,Катэгорыя
bg,Категория (математика)
ca,Categoria (matemàtiques)
da,Kategori (matematik)
de,Lokal kleine Kategorie
et,Kategooria (matemaatika)
es,Categoría (matemáticas)
eo,Kategorio (matematiko)
eu,Kategoria (matematika)
fa,رسته (ریاضیات)
gl,Categoría (matemáticas)
ko,범주 (수학)
hy,Կատեգորիա (մաթեմատիկա)
id,Kategori (matematika)
he,קטגוריה (מתמטיקה)
hu,Kategória (matematika)
nl,Categorie (wiskunde)
ja,圏 (数学)
nb,Kategori (matematikk)
nn,Kategori i matematikk
pl,Kategoria (matematyka)
pt,Categoria (teoria das categorias)
ro,Categorie (matematică)
ru,Категория (математика)
sl,Kategorija (matematika)
sr,Kategorija (matematika)
fi,Kategoria (matematiikka)
sv,Kategori (matematik)
tr,Kategori (matematik)
uk,Категорія (математика)
yue,範疇 (數學)
zh,範疇 (數學)
