Language,Title
en,Category:Positional numeral systems
ar,تصنيف:أنظمة عد
nan,Lūi-pia̍t:Ūi-tì kì-siàu-hoat
be-tarask,Катэгорыя:Пазыцыйныя сыстэмы зьлічэньня
bs,Kategorija:Pozicijski brojevni sistemi
ca,Categoria:Sistemes de numeració posicional
cs,Kategorie:Poziční číselné soustavy
el,Κατηγορία:Συστήματα αρίθμησης
es,Categoría:Sistemas de numeración posicional
fa,رده:عددنویسی ارزش مکانی
hi,श्रेणी:स्थानिक संख्या प्रणालियाँ
hu,Kategória:Számrendszerek
mk,Категорија:Положбени бројни системи
ja,Category:位取り記数法
pl,Kategoria:Pozycyjne systemy liczbowe
so,Category:Habdhiska tiro
sr,Категорија:Позициони бројевни системи
sh,Kategorija:Pozicioni brojevni sistemi
tl,Kategorya:Mga sistemang numeral na pangposisyon
ta,பகுப்பு:இலக்க எண்குறி முறைமைகள்
th,หมวดหมู่:ระบบเลขเชิงตำแหน่ง
uk,Категорія:Позиційні системи числення
ur,زمرہ:مقامیہ عددی نظامات
lzh,分類:進制
yue,Category:進位制
zh,Category:进位制
