Language,Title
af,Kettingreël
ar,قاعدة السلسلة
nan,Liân-só-lu̍t
bs,Pravilo derivacije složene funkcije
ca,Regla de la cadena
cv,Хутлă функцин тухсатăранне тупасси
cs,Řetízkové pravidlo
de,Kettenregel
es,Regla de la cadena
eo,Derivaĵo de funkcia komponaĵo
eu,Katearen erregela
fa,قاعده زنجیره‌ای
fr,Théorème de dérivation des fonctions composées
ko,연쇄 법칙
hy,Բարդ ֆունկցիայի դիֆերենցում
hi,शृंखला नियम (अवकलन)
id,Kaidah rantai
is,Keðjuregla
it,Regola della catena
he,כלל השרשרת
hu,Láncszabály
nl,Kettingregel
ja,連鎖律
nn,Kjerneregelen
pms,Régola dla caden-a
pl,Reguła łańcuchowa
pt,Regra da cadeia
ru,Дифференцирование сложной функции
en-simple,Chain rule
sl,Odvod kompozituma
sr,Извод сложене функције
sh,Pravilo derivacije složene funkcije
fi,Ketjusääntö
sv,Kedjeregeln
tl,Patakarang kadena
ta,வகையிடலின் சங்கிலி விதி
th,กฎลูกโซ่
tr,Zincir kuralı
uk,Диференціювання складної функції
zh,链式法则
