Language,Title
en,Class (set theory)
ca,Classe (matemàtiques)
cs,Třída (matematika)
da,Klasse (matematik)
de,Klasse (Mengenlehre)
et,Klass (matemaatika)
es,Clase (teoría de conjuntos)
fa,کلاس (نظریه مجموعه‌ها)
fr,Classe (mathématiques)
ko,모임 (집합론)
hy,Դաս (բազմությունների տեսություն)
hr,Klasa (matematika)
id,Kelas (teori himpunan)
it,Classe (matematica)
he,מחלקה (תורת הקבוצות)
lmo,Classa (matemàtica)
hu,Osztály (halmazelmélet)
nl,Klasse (verzamelingenleer)
ja,クラス (集合論)
nn,Klasse i matematikk
pl,Klasa (matematyka)
pt,Classe (teoria dos conjuntos)
ro,Clasă (matematică)
ru,Класс (математика)
sl,Razred (teorija množic)
fi,Luokka (matematiikka)
sv,Klass (matematik)
ta,தொகுதி (கணக் கோட்பாடு)
uk,Клас (теорія множин)
zh,类 (数学)
