Language,Title
en,Closure (mathematics)
ar,انغلاق (رياضيات)
bs,Zatvorenost (matematika)
da,Lukning
de,Abgeschlossenheit (algebraische Struktur)
el,Κλειστότητα
fa,بستار (ریاضی)
fr,Clôture (mathématiques)
ko,폐포 (수학)
hr,Zatvorenost (matematika)
id,Ketertutupan (matematika)
is,Lokun
it,Proprietà di chiusura
he,סגירות (אלגברה)
ml,സംവൃതി (ഗണിതം)
nl,Afsluiting (verzameling)
ja,閉性
nb,Lukning (matematikk)
pt,Fechamento
ro,Închidere (matematică)
ru,Замыкание (алгебра)
en-simple,Closure (mathematics)
sr,Затвореност (математика)
sh,Zatvorenost (matematika)
sv,Slutenhet (matematik)
ta,அடைவுப் பண்பு
th,สมบัติการปิด
uk,Замикання (математика)
vi,Đóng (phép toán)
zh,闭包 (数学)
