Language,Title
en,Commutative property
af,Kommutatiewe bewerking
ar,عملية تبديلية
ast,Conmutatividá
az,Kommutativlik xassəsi
bn,বিনিময় বৈশিষ্ট্য
ba,Коммутативлыҡ
be,Камутатыўная аперацыя
bg,Комутативност
bs,Komutativnost
ca,Propietat commutativa
cv,Коммутативлă операци
cs,Komutativita
da,Kommutativitet
de,Kommutativgesetz
et,Kommutatiivsus
el,Αντιμεταθετική ιδιότητα
es,Conmutatividad
eo,Komuteco
eu,Trukakortasun
fa,خاصیت جابه‌جایی
fr,Loi commutative
ga,Oibríocht chómhalartach
gd,Co-iomlaideachd
gl,Conmutatividade
ko,교환법칙
hy,Տեղափոխականություն
hi,क्रमविनिमेयता
hr,Komutativnost
id,Sifat komutatif
ia,Commutativitate
is,Víxlregla
it,Commutatività
he,פעולה קומוטטיבית
kk,Ауыстырымдылық
la,Commutativitas (mathematica)
lv,Komutativitāte
lt,Komutatyvumas
hu,Kommutativitás
mk,Комутативност
ml,ക്രമനിയമം
ms,Kalis tukar tertib
nl,Commutativiteit
ja,交換法則
frr,Komutatiifgesets
nb,Kommutativ lov
nn,Kommutativitet
pl,Przemienność
pt,Comutatividade
ro,Comutativitate
ru,Коммутативность
si,න්‍යාදේශ්‍ය න්‍යාය
en-simple,Commutative property
sk,Komutatívnosť
sl,Komutativnost
ckb,خاسیەتی ئاڵوگۆڕ
sr,Комутативност
sh,Komutativnost
fi,Vaihdannaisuus
sv,Kommutativitet
ta,பரிமாற்றுத்தன்மை
tt,Коммутативлык
th,สมบัติการสลับที่
tr,Değişme özelliği
uk,Комутативність
vec,Propietà comutativa
vi,Tính giao hoán
wuu,交换律
yue,交換律
zh,交換律
