Language,Title
en,Commutative ring
ar,حلقة تبادلية
ast,Aniellu conmutativu
ba,Коммутатив ҡулса
ca,Anell commutatiu
cs,Komutativní okruh
da,Kommutativ ring
de,Kommutativer Ring
el,Αντιμεταθετικός δακτύλιος
es,Anillo conmutativo
eo,Komuta ringo
eu,Eraztun trukakor
fa,حلقه جابه‌جایی
fr,Anneau commutatif
gl,Anel conmutativo
ko,가환환
id,Gelanggang komutatif
it,Anello commutativo
nl,Commutatieve ring
ja,可換環
nn,Kommutativ ring
pl,Pierścień przemienny
pt,Anel comutativo
ro,Inel comutativ
ru,Коммутативное кольцо
en-simple,Commutative ring
sr,Комутативни прстен
sh,Komutativni prsten
fi,Kommutoiva rengas
sv,Kommutativ ring
ta,பரிமாற்று வளையம்
tr,Değişmeli halka
uk,Комутативне кільце
vi,Vành giao hoán
yue,交換環
zh,交换环
