Language,Title
en,Complex conjugate
ar,مرافق عدد مركب
bn,অনুবন্ধী জটিল
nan,Ho̍k-kiōng-tam
bg,Комплексно спрегнато
bs,Konjugovan kompleksan broj
ca,Conjugat
cv,Çумкӳлĕмлĕ хисеп
cs,Komplexně sdružené číslo
cy,Cyfiau cymhlyg
da,Komplekst konjugerede
de,Konjugation (Mathematik)
el,Συζυγής μιγαδικός αριθμός
es,Conjugado (matemática)
eo,Kompleksa konjugito
eu,Konjugatu (matematika)
fa,مزدوج مختلط
fr,Conjugué
ko,켤레 복소수
id,Konjugat kompleks
is,Samoki
it,Complesso coniugato
lv,Kompleksi saistītais skaitlis
lmo,Compless coniugad
hu,Komplex konjugált
nl,Complex geconjugeerde
ja,複素共役
nb,Kompleks konjugasjon
pa,ਕੰਪਲੈਕਸ ਕੰਜੂਗੇਟ
km,កុំផ្លិចឆ្លាស់
pl,Sprzężenie zespolone
pt,Conjugado de um número complexo
ro,Conjugată complexă
ru,Сопряжённые числа
si,සංකීර්ණ ප්‍රතිබද්ධය
ckb,ئاوەڵی ژمارەی ئاوێتە
sr,Конјугован комплексан број
fi,Kompleksikonjugaatti
sv,Komplexkonjugat
ta,இணைச் சிக்கலெண்
th,สังยุค (จำนวนเชิงซ้อน)
uk,Спряжені числа
ur,مختلط مقترن
yue,複共軛
zh,共轭复数
