Language,Title
en,Complex number
af,Komplekse getal
gsw,Komplexe Zahl
am,የአቅጣጫ ቁጥር
smn,Kompleksloho
anp,समिश्र संख्या
ar,عدد مركب
an,Numero complexo
as,জটিল সংখ্যা
ast,Númberu complexu
az,Kompleks ədədlər
bn,জটিল সংখ্যা
nan,Ho̍k-cha̍p-sò͘
ba,Комплекслы һан
be,Камплексны лік
be-tarask,Камплексны лік
bg,Комплексно число
bs,Kompleksan broj
bxr,Комплекс тоо
ca,Nombre complex
cv,Комплекслă хисеп
cs,Komplexní číslo
cy,Rhif cymhlyg
da,Komplekse tal
de,Komplexe Zahl
et,Kompleksarv
el,Μιγαδικός αριθμός
egl,Nómmer cumplês
es,Número complejo
eo,Kompleksa nombro
eu,Zenbaki konplexu
fa,عدد مختلط
fo,Komplekst tal
fr,Nombre complexe
fy,Kompleks getal
ga,Uimhir choimpléascach
gl,Número complexo
gan,複數
gu,સંકર સંખ્યાઓ
xal,Комплексин тойг
ko,복소수
hy,Կոմպլեքս թիվ
hi,समिश्र संख्या
hr,Kompleksni broj
io,Komplexa nombro
id,Bilangan kompleks
ia,Numero complexe
os,Комплексон нымæц
is,Tvinntölur
it,Numero complesso
he,מספר מרוכב
kbp,Ndɩ ndɩ ñʊŋ
ka,კომპლექსური რიცხვი
kk,Кешен сан
kw,Niver kompleth
sw,Namba changamano
gcr,Nonm kompleks
ky,Комплекстүү сан
lo,ຈຳນວນສົນ
la,Numerus complexus
lv,Komplekss skaitlis
lt,Kompleksinis skaičius
li,Complex getal
jbo,relcimdyna'u
lmo,Numer compless
hu,Komplex számok
mk,Комплексен број
mg,Isa haro
ml,മിശ്രസംഖ്യ
mr,संमिश्र संख्या
ms,Nombor kompleks
mn,Комплекс тоо
my,ကွန်ပလက်စ်ကိန်း
nl,Complex getal
ja,複素数
frr,Kompleks taal
nb,Komplekst tall
nn,Komplekse tal
oc,Nombre complèxe
om,Lakkoofsa Xaxxamaa
uz,Kompleks sonlar
pa,ਕੰਪਲੈਕਸ ਨੰਬਰ
pnb,کمپلیکس نمبر
jam,Komplex nomba
km,ចំនួនកុំផ្លិច
pms,Nùmer compless
pl,Liczby zespolone
pt,Número complexo
ro,Număr complex
rue,Комплексне чісло
ru,Комплексное число
sah,Комплекс ахсаан
sco,Complex nummer
sq,Numrat kompleksë
scn,Nùmmuru cumplessu
si,සංකීර්ණ සංඛ්‍යා
en-simple,Complex number
sk,Komplexné číslo
sl,Kompleksno število
so,Tiro kakan
ckb,ژمارەی ئاوێتە
sr,Комплексан број
sh,Kompleksan broj
fi,Kompleksiluku
sv,Komplexa tal
tl,Komplikadong bilang
ta,சிக்கலெண்
tt,Комплекс сан
te,సంకీర్ణ సంఖ్యలు
th,จำนวนเชิงซ้อน
tg,Адади комплексӣ
tr,Karmaşık sayı
uk,Комплексне число
ur,مخلوط عدد
vec,Numaro conpleso
vi,Số phức
vro,Kompleksarv
lzh,複數
vls,Complexe getalln
war,Komplikado nga ihap
wuu,复数（数学）
yi,קאמפלעקסע צאל
yo,Nọ́mbà tóṣòro
yue,複數
diq,Amaro kompleks
sgs,Kuompleksėnis skaitlios
zh,复数 (数学)
