Language,Title
en,Computational geometry
ar,هندسة رياضية حاسوبية
ca,Geometria computacional
cv,Шутлавла геометри
de,Algorithmische Geometrie
es,Geometría computacional
eu,Geometria konputazional
fa,هندسه محاسباتی
fr,Géométrie algorithmique
ko,계산기하학
id,Geometri komputasi
it,Geometria computazionale
he,גאומטריה חישובית
ka,გამოთვლითი გეომეტრია
nl,Computationele geometrie
ja,計算幾何学
pl,Geometria obliczeniowa
pt,Geometria computacional
ru,Вычислительная геометрия
sl,Računalniška geometrija
fi,Laskennallinen geometria
tr,Hesaplamalı geometri
uk,Обчислювальна геометрія
ur,کمپیوٹیشنل جیومیٹری
vi,Hình học tính toán
yue,運算幾何
zh,计算几何
