Language,Title
en,Constructive solid geometry
af,Konstruktiewe ruimtemeetkunde
bs,Konstruktivna stereometrija
cs,Constructive solid geometry
de,Constructive Solid Geometry
et,Konstruktiivne mahtgeomeetria
es,Geometría constructiva de sólidos
fr,Géométrie de construction de solides
ko,구조적 입체기하학
it,Geometria solida costruttiva
nl,Constructieve ruimtemeetkunde
ja,Constructive Solid Geometry
nb,CSG (datagrafikk)
pl,CSG
pt,Geometria sólida construtiva
ru,Конструктивная сплошная геометрия
uk,Конструктивна блокова геометрія
zh,构造实体几何
