Language,Title
en,Continuous function
am,ሪጋ አስረካቢ
ar,دالة مستمرة
bn,অবিচ্ছিন্ন ফাংশন
be,Неперарыўная функцыя
bs,Neprekidna funkcija
ca,Funció contínua
cv,Татăлми куçару
cs,Spojité zobrazení
de,Stetige Funktion
el,Συνέχεια συνάρτησης
es,Función continua
eo,Kontinua funkcio
eu,Funtzio jarraitu
fa,تابع پیوسته
fr,Fonction continue
gl,Función continua
ko,연속 함수
hy,Անընդհատ արտապատկերում
hi,सतत फलन
hr,Neprekidnost funkcije
id,Fungsi kontinu
ia,Function continue
it,Funzione continua
he,פונקציה רציפה (אנליזה)
ka,უწყვეტობა
kk,Үзіліссіз функция
lt,Tolydi funkcija
hu,Folytonos függvény
xmf,უჭყვადუ ფუნქცია
ms,Fungsi selanjar
nl,Continue functie (analyse)
ja,連続写像
nb,Kontinuerlig funksjon
nn,Kontinuerleg funksjon
uz,Uzluksiz funksiya
pa,ਨਿਰੰਤਰ ਫੰਕਸ਼ਨ
pms,Fonsion continua
pl,Funkcja ciągła
pt,Função contínua
ro,Funcție continuă
ru,Непрерывное отображение
en-simple,Continuous function
sk,Spojitá funkcia
sl,Zvezna funkcija
ckb,فانکشنی بەردەوام
sr,Непрекидна функција
sh,Neprekidne funkcije
fi,Jatkuva funktio
sv,Kontinuerlig funktion
ta,தொடர்ச்சியான சார்பு
th,ฟังก์ชันต่อเนื่อง
uk,Неперервна функція
ur,استمری دالہ
vi,Hàm liên tục
lzh,連續
wuu,连续函数
yue,連續函數
zh,连续函数
