Language,Title
en,Convex hull
ar,انغلاق محدب
ca,Envolupant convexa
cs,Konvexní obal
de,Konvexe Hülle
es,Envolvente convexa
eo,Konveksa koverto
fa,غلاف محدب
fr,Enveloppe convexe
ko,볼록 껍질
id,Selubung cembung
it,Inviluppo convesso
he,קמור
la,Involucrum convexum
hu,Konvex burok
nl,Convex omhulsel
ja,凸包
nb,Konveks omhylning
pl,Otoczka wypukła
pt,Envoltória convexa
ro,Anvelopă convexă
ru,Выпуклая оболочка
sk,Konvexný obal
sl,Konveksna ogrinjača
sr,Конвексни омотач
sv,Konvext hölje
uk,Опукла оболонка
ur,محدب خول
vi,Bao lồi
zh,凸包
