Language,Title
en,Convex set
ar,مجموعة محدبة
ast,Convexidá
ca,Conjunt convex
cv,Мăкăрăлчăк йыш
cs,Konvexní množina
de,Konvexe Menge
et,Kumer hulk
el,Κυρτό σύνολο
es,Convexidad
eo,Konveksa aro
eu,Multzo konbexu
fa,مجموعه محدب
fr,Ensemble convexe
gl,Conxunto convexo
ko,볼록 집합
hy,Ուռուցիկ բազմություն
id,Himpunan cembung
it,Insieme convesso
he,קבוצה קמורה
kk,Дөңес жиын
hu,Konvex halmaz
mn,Гүдгэр олонлог
nl,Convexe verzameling
ja,凸集合
nb,Konveks mengde
nn,Konveks mengd
pms,Bombadura
pl,Zbiór wypukły
pt,Conjunto convexo
ru,Выпуклое множество
en-simple,Convex set
sk,Konvexná množina
sl,Konveksna množica
sr,Konveksni skup
fi,Konveksi joukko
sv,Konvex mängd
ta,குவிவுக் கணம்
tr,Dışbükey küme
uk,Опукла множина
ur,محدب طاقم
vi,Tập lồi
yue,凸集
zh,凸集
