Language,Title
en,Countable
ar,مجموعة قابلة للعد
bn,গণনাযোগ্য সেট
bg,Изброимо множество
ca,Conjunt numerable
cs,Spočetná množina
da,Tællelig mængde
de,Abzählbare Menge
es,Conjunto numerable
eo,Kalkulebla aro
eu,Multzo zenbakigarri
fa,مجموعه شمارا
ko,가산 집합
hi,गणनीय समुच्चय
is,Teljanlegt mengi
it,Insieme numerabile
he,קבוצה בת מנייה
lmo,Insemma numerabil
ms,Himpunan terhitung
mn,Тоолж болдог олонлог
nl,Aftelbare verzameling
nb,Tellbar
nn,Teljeleg
pl,Zbiór przeliczalny
pt,Conjunto contável
ro,Mulțime numărabilă
en-simple,Countable set
sk,Spočítateľná množina
sh,Prebrojiv skup
fi,Numeroituva joukko
sv,Uppräknelig mängd
th,เซตนับได้
vi,Tập hợp đếm được
yue,可數集
zh,可數集
