Language,Title
ar,دوران (متجهات)
bg,Ротация (диференциален оператор)
bs,Rotor (matematika)
ca,Rotacional
cv,Ротор (дифференциалла оператор)
cs,Rotace (operátor)
de,Rotation eines Vektorfeldes
es,Rotacional
eo,Kirlo (matematiko)
fa,کرل (ریاضیات)
fr,Rotationnel
ko,회전 (벡터)
hy,Ռոտոր (դիֆերենցման օպերատոր)
hi,कर्ल (गणित)
hr,Rotacija polja
is,Rót (virki)
it,Rotore (matematica)
he,רוטור (מתמטיקה)
ka,როტორი
hu,Rotáció
nl,Rotatie (vectorveld)
ja,回転 (ベクトル解析)
nb,Curl
nn,Rotasjon i vektoranalyse
pl,Rotacja
pt,Rotacional
ro,Rotor
ru,Ротор (дифференциальный оператор)
en-simple,Curl
sk,Rotácia (operátor)
sl,Rotor
sr,Ротор (математика)
sh,Rotor (matematika)
fi,Roottori (matematiikka)
sv,Rotation (vektoranalys)
tt,Ротор (математика)
th,เคิร์ล
tr,Rotasyonel
uk,Ротор (математика)
vi,Rot (toán tử)
yue,旋度
zh,旋度
