Language,Title
en,Decimal fractions
gsw,Dezimalsystem
ar,نظام عد عشري
ast,Sistema de numberación decimal
az,Onluq sistemi
bn,দশমিক পদ্ধতি
nan,Si̍p-chìn-hoat
ba,Унарлы иҫәпләү системаһы
be,Дзесятковая сістэма злічэння
be-tarask,Дзесятковая сыстэма зьлічэньня
bcl,Desimal
bg,Десетична бройна система
bs,Dekadni sistem brojeva
br,Dispakadur dekredel
ca,Nombre decimal
cv,Вуншарлă шут тытăмĕ
cs,Desítková soustava
sn,Muravanegumi
cy,Degol
de,Dezimalsystem
et,Kümnendsüsteem
el,Δεκαδικό σύστημα
es,Sistema de numeración decimal
eo,Dekuma nombrosistemo
eu,Zenbaki-sistema hamartar
fa,ده‌دهی
fr,Système décimal
ga,Córas deachúil
gl,Sistema de numeración decimal
ko,십진법
hy,Տասնորդական հաշվման համակարգեր
hi,दशमलव पद्धति
hr,Dekadski brojevni sustav
io,Decimala nombrosistemo
id,Sistem bilangan desimal
xh,I-decimal
is,Tugakerfi
it,Sistema numerico decimale
he,השיטה העשרונית
jv,Sistem wilangan dèsimal
kn,ದಶಮಾನ ಪದ್ಧತಿ
kk,Ондық санау жүйесі
ht,Sistèm desimal
ky,Ондук эсептөө тутуму
la,Systema numericum decimale
lv,Decimālā skaitīšanas sistēma
lt,Dešimtainė skaičiavimo sistema
lfn,Sistem desimal
hu,Tízes számrendszer
mk,Десетичен броен систем
ml,ദശാംശ സമ്പ്രദായം
ms,Perpuluhan
mwl,Sistema de numeraçon decimal
mn,Аравтын тооллын систем
nl,Decimaal talstelsel
ja,十進法
nb,Titallsystemet
nn,Titalssystemet
oc,Sistèma decimal
mhr,Луан чотрадам системе
pa,ਇਸ਼ਾਰੀਆ
pl,Dziesiętny system liczbowy
pt,Sistema de numeração decimal
ro,Sistem zecimal
qu,Chunkantin huchha llika
ru,Десятичная система счисления
nso,Letlase la lesome
en-simple,Decimal
sk,Desiatková číselná sústava
sl,Desetiški številski sistem
ckb,دەدەیی
sr,Декадни систем
sh,Dekadni sistem
fi,Kymmenjärjestelmä
sv,Decimala talsystemet
ta,பதின்மம்
tt,Унарлы исәпләү системасы
th,เลขฐานสิบ
tr,Onlu sayı sistemi
uk,Десяткова система числення
ur,معید اعشاریہ
vi,Hệ thập phân
lzh,十進制
war,Desimal
wuu,十进制
yi,דעצימאל
yue,十進制
zh,十进制
