Language,Title
en,Decimal point
ar,فاصل عشري
bg,Десетичен знак
ca,Separador decimal
cv,Вуншарлă пайлавçă
cs,Desetinná značka
cy,Pwynt degol
de,Dezimaltrennzeichen
es,Separador decimal
eu,Dezimalen bereizle
fa,جداکننده اعشار
fr,Séparateur décimal et séparateur de milliers
gl,Separador decimal
ko,소수점
hy,Տասնորդական տրոհիչ
hi,दशमलव बिन्दु
it,Separatore decimale
he,נקודה עשרונית
hu,Tizedesvessző
mk,Децимален знак
ja,小数点
nb,Desimaltegn
pl,Separator dziesiętny
pt,Separador decimal
ro,Separator zecimal
ru,Десятичный разделитель
en-simple,Decimal separator
sk,Desatinná čiarka
sl,Decimalno ločilo
sr,Децимални сепаратор
sv,Decimaltecken
th,สัญลักษณ์แบ่งเลขฐานสิบ
tr,Ondalık işareti
uk,Десятковий розділювач
vi,Dấu thập phân
zh,小數點
