Language,Title
en,Definition
ar,تعريف
bn,সংজ্ঞা
nan,Tēng-gī
bg,Дефиниция
bo,མཚན་ཉིད།
bs,Definicija
br,Termenadur
ca,Definició
cv,Палăртав (логика)
cs,Definice
sn,Chirevo
cy,Diffiniad
da,Definition
de,Definition
et,Definitsioon
el,Ορισμός
es,Definición
eo,Difino
eu,Definizio
fa,تعریف
fr,Définition
gl,Definición
ko,정의 (논리학)
hy,Սահմանում
hi,परिभाषा
hr,Definicija
id,Definisi
zu,Incasiselo
it,Definizione
he,הגדרה
jv,Dhéfinisi
kk,Дефиниция
ky,Аныктама
lv,Definīcija
hu,Definíció
mk,Дефиниција
ms,Definisi
nl,Definitie
ja,定義
nb,Definisjon
nn,Definisjon
uz,Definitsiya
pa,ਪਰਿਭਾਸ਼ਾ
pfl,Definition
nds,Definitschoon
pl,Definicja
pt,Definição
ro,Definiție
qu,Sut'ichay
ru,Определение (логика)
si,අර්ථ දැක්වීම
en-simple,Definition
sd,سمجهاڻي
sk,Definícia
sl,Definicija
ckb,پێناسە
sr,Дефиниција
sh,Definicija
fi,Määritelmä
sv,Definition
tl,Katuturan
ta,வரைவிலக்கணம்
tt,Билгеләмә
th,บทนิยาม
uk,Означення
ur,تعریف
vec,Definision
vi,Định nghĩa
vro,Välläseletüs
lzh,界說
wuu,定义
yi,דעפיניציע
yue,定義
zh,定义
