Language,Title
af,Afgeleide
am,ውድድር
ar,مشتق (رياضيات)
an,Derivada
ast,Derivada
az,Törəmə
azb,تؤره‌مه
bn,অন্তরজ
ba,Функцияның сығарылмаһы
be,Вытворная функцыі
be-tarask,Вытворная функцыі
bh,अवकलन
bg,Производна
bs,Izvod
ca,Derivada
cv,Функцин тăхăмĕ
cs,Derivace
cy,Deilliant
de,Ableitung (Mathematik)
et,Tuletis (matemaatika)
el,Παράγωγος
es,Derivada
eo,Derivaĵo (matematiko)
eu,Deribatu
fa,مشتق
fr,Dérivée
fur,Derivade
ga,Díorthach
gl,Derivada
ko,미분
hy,Ածանցյալ
hi,अवकलज
hr,Derivacija
io,Derivajo
id,Turunan
is,Afleiða (stærðfræði)
it,Derivata
he,נגזרת
ka,წარმოებული
lo,ຜົນຕຳລາ
la,Derivativum
lv,Atvasinājums
lt,Išvestinė
lmo,Derivada
hu,Derivált
ml,അവകലജം
mt,Derivata
mr,अवकलन
ms,Terbitan
my,ဒစ်ဖရန်ရှေးရှင်း
nl,Afgeleide
ja,微分
nb,Derivasjon
nn,Derivasjon
uz,Differensial
pnb,مشتق
pl,Pochodna funkcji
pt,Derivada
ro,Derivată
ru,Производная функции
sco,Derivative
sq,Derivati
scn,Dirivata
en-simple,Derivative (mathematics)
sk,Derivácia (funkcia)
sl,Odvod
szl,Pochodno
ckb,گرتە
sr,Извод
sh,Izvod
fi,Derivaatta
sv,Derivata
tl,Deribatibo
ta,வகையிடல்
tt,Функция чыгарылмасы
th,อนุพันธ์
tr,Türev
uk,Похідна
ur,مشتق
vec,Derivada
vi,Đạo hàm
wa,Derivêye
lzh,導數
wuu,導數
yi,דעריוואטיוו
yue,導數
zh,导数
