Language,Title
en,Descriptive geometry
ar,هندسة وصفية
az,Tərsimi həndəsə
bg,Дескриптивна геометрия
ca,Geometria descriptiva
cv,Ӳкерӳ геометрийĕ
cs,Deskriptivní geometrie
de,Darstellende Geometrie
et,Kujutav geomeetria
el,Παραστατική γεωμετρία
es,Geometría descriptiva
fr,Géométrie descriptive
gl,Xeometría descritiva
ko,화법기하학
hy,Գծագրական երկրաչափություն
hi,वर्णनात्मक ज्यामिति
it,Geometria descrittiva
lv,Tēlotāja ģeometrija
hu,Ábrázoló geometria
mk,Нацртна геометрија
mn,Дүрслэх геометр
nl,Beschrijvende meetkunde
ja,図法幾何学
nn,Deskriptiv geometri
uz,Chizma geometriya
pms,Geometrìa descritiva
pl,Geometria wykreślna
pt,Geometria descritiva
ro,Geometrie descriptivă
ru,Начертательная геометрия
sq,Gjeometria deskriptive
sk,Deskriptívna geometria
sr,Нацртна геометрија
tg,Ҳандасаи тавсифӣ
tr,Tasarı geometri
uk,Нарисна геометрія
vi,Hình học họa hình
zh,画法几何
