Language,Title
en,Differential geometry
ar,هندسة تفاضلية
ast,Xeometría diferencial
bn,ব্যবকলনীয় জ্যামিতি
be,Дыферэнцыяльная геаметрыя
bg,Диференциална геометрия
ca,Geometria diferencial
cv,Дифференциаллă геометри
cs,Diferenciální geometrie
da,Differentialgeometri
de,Differentialgeometrie
et,Diferentsiaalgeomeetria
el,Διαφορική γεωμετρία
es,Geometría diferencial
eo,Diferenciala geometrio
eu,Geometria diferentzial
fa,هندسه دیفرانسیل
fr,Géométrie différentielle
gl,Xeometría diferencial
ko,미분기하학
hy,Դիֆերենցիալ երկրաչափություն
hi,अवकल ज्यामिति
hr,Diferencijalna geometrija
id,Geometri diferensial
it,Geometria differenziale
he,גאומטריה דיפרנציאלית
ka,დიფერენციალური გეომეტრია და ტოპოლოგია
lt,Diferencialinė geometrija
hu,Differenciálgeometria
ms,Geometri pembezaan
my,ဒစ်ဖရန်ရှယ်ဂျီဩမေတြီ
nl,Differentiaalmeetkunde
ja,微分幾何学
nb,Differensialgeometri
nn,Differensialgeometri
uz,Differensial geometriya
pl,Geometria różniczkowa
pt,Geometria diferencial
ro,Geometrie diferențială
ru,Дифференциальная геометрия
en-simple,Differential geometry
sk,Diferenciálna geometria
sr,Diferencijalna geometrija
sh,Diferencijalna geometrija
fi,Differentiaaligeometria
sv,Differentialgeometri
tl,Heometriyang deribatibo
tg,Ҳандасаи дифференсиал
tr,Diferansiyel geometri
uk,Диференціальна геометрія
vi,Hình học vi phân
wuu,微分几何
yue,微分幾何
zh,微分几何
