Language,Title
ar,تفاضل دالة
az,Differensial (riyaziyyat)
be,Дыферэнцыял функцыі
bg,Диференциал (математика)
ca,Diferencial d'una funció
cv,Дифференциал (математика)
cs,Diferenciál (matematika)
cy,Differu
da,Differentiabel
de,Differential (Mathematik)
et,Diferentsiaal
es,Diferencial de una función
eo,Diferencialo
fr,Différentielle
hak,Mì-fûn-ho̍k
ko,미분 (주요 부분)
id,Diferensial fungsi
it,Differenziale (matematica)
he,דיפרנציאל (מתמטיקה)
ka,ფუნქციის დიფერენციალი
kk,Дифференциал (математика)
lt,Diferencialas
nl,Differentiaal
ja,関数の微分
nb,Differensial (matematikk)
nn,Differensial i matematikk
pl,Różniczka funkcji
pt,Diferencial de uma função
ru,Дифференциал (математика)
en-simple,Differential
fi,Funktion differentiaali
sv,Differential
ta,வகையீடு (கணிதம்)
uk,Диференціал (математика)
zh,微分
