Language,Title
en,Discrete geometry
ar,هندسة متقطعة
bg,Дискретна геометрия
bs,Diskretna geometrija
ca,Geometria discreta
es,Geometría discreta
fa,هندسه گسسته
fr,Géométrie discrète
id,Geometri diskrit
it,Geometria discreta
ky,Комбинаторика геометриясы
hu,Diszkrét geometria
ms,Geometri diskret
my,ကွန်ဘိုင်နတိုးရစ် ဂျီဩမေတြီ
ja,離散幾何学
pt,Geometria discreta
ro,Geometrie discretă și geometrie combinatorică
ru,Комбинаторная геометрия
tl,Heometriyang natatangi
uk,Комбінаторна геометрія
vi,Hình học rời rạc
yue,離散幾何
zh,离散几何学
