Language,Title
en,Distributivity
ar,توزيعية
ast,Distributividá
ba,Дистрибутивлыҡ
be,Дыстрыбутыўнасць
ca,Propietat distributiva
cv,Дистрибутивлăх
cs,Distributivita
da,Distributivitet
de,Distributivgesetz
et,Distributiivsus
el,Επιμεριστική ιδιότητα
es,Distributividad
eo,Distribueco
eu,Banakortasun
fa,خاصیت توزیع‌پذیری
fr,Distributivité
ga,Oibríocht dháileach
gl,Distributividade
ko,분배법칙
hy,Բաշխականություն
id,Sifat distributif
is,Dreifiregla
it,Distributività
he,חוק הפילוג
la,Distributio (mathematica)
hu,Disztributivitás
mk,Дистрибутивност
ms,Kalis agihan
nl,Distributiviteit
ja,分配法則
frr,Distributiifgesets
nb,Distributiv lov
nn,Distributivitet
uz,Distributivlik
pl,Rozdzielność działania
pt,Distributividade
ro,Distributivitate
ru,Дистрибутивность
en-simple,Distributive property
sl,Distributivnost
ckb,دابەشبوون
sr,Дистрибутивност
sh,Distributivnost
fi,Osittelulaki
sv,Distributivitet
ta,பங்கீட்டுப் பண்பு
tt,Дистрибутивлык
th,สมบัติการแจกแจง
tr,Dağılma özelliği
uk,Дистрибутивність
vi,Thuộc tính phân phối
yi,דיסטריבוטיוו
yue,分配律
zh,分配律
