Language,Title
ar,تباعد
bn,ডাইভারজেন্স
bg,Дивергенция (математика)
bs,Divergencija
ca,Divergència
cv,Дивергенци
cs,Divergence (operátor)
de,Divergenz eines Vektorfeldes
et,Divergents (matemaatika)
es,Divergencia (matemática)
eo,Diverĝenco
eu,Dibergentzia (matematika)
fa,دیورژانس
fr,Divergence (analyse vectorielle)
ko,발산 (벡터)
hy,Տարամիտություն
hi,विचलन
hr,Divergencija polja
is,Sundurleitni
it,Divergenza
he,דיברגנץ
ka,დივერგენცია
kk,Дивергенция
lt,Divergencija
lmo,Divergenza
hu,Divergencia (vektoranalízis)
nl,Divergentie (vectorveld)
ja,発散 (ベクトル解析)
nb,Divergens
nn,Divergens
pl,Dywergencja
pt,Divergência
ro,Divergență
ru,Дивергенция
en-simple,Divergence
sk,Divergencia (vektorové pole)
sl,Divergenca
sr,Дивергенција
sh,Divergencija
fi,Divergenssi
sv,Divergens (vektoranalys)
tl,Diberhensiya (matematika)
ta,விரிதல் (திசையன் நுண்கணிதம்)
tt,Дивергенция (математика)
tr,Diverjans
uk,Дивергенція (математика)
vi,Toán tử div
yue,散度
zh,散度
