Language,Title
ar,مبرهنة التباعد
ast,Teorema de Gauss
bg,Теорема на Гаус-Остроградски
ca,Teorema de la divergència
cs,Gaussova věta
de,Gaußscher Integralsatz
et,Gaussi-Ostrogradski teoreem
es,Teorema de la divergencia
eo,Diverĝenca teoremo
fa,قضیه دیورژانس
fr,Théorème de la divergence
ko,발산 정리
hy,Գաուս-Օստոգրադսկու թեորեմ
id,Teorema divergensi
is,Lögmál Gauss
it,Teorema della divergenza
he,משפט גאוס
lmo,Teurema da la divergenza
hu,Gauss–Osztrohradszkij-tétel
nl,Divergentiestelling
ja,発散定理
nb,Divergensteorem
pl,Twierdzenie Ostrogradskiego-Gaussa
pt,Teorema da divergência
ru,Формула Гаусса — Остроградского
sk,Gaussova veta
fi,Gaussin divergenssilause
sv,Gauss sats
tr,Diverjans teoremi
uk,Формула Остроградського
vi,Định lý Gauss
zh,高斯散度定理
