Language,Title
en,Division (mathematics)
af,Deling
gsw,Division (Mathematik)
ar,قسمة (رياضيات)
an,División
as,হৰণ
ast,División (matemátiques)
ay,Jaljayaña
az,Bölmə (riyaziyyat)
azb,بؤلمه
bn,ভাগ
nan,Tû-hoat
ba,Бүлеү
be,Дзяленне
be-tarask,Дзяленьне
bcl,Pagbanga (matematika)
bg,Деление
bo,བགོ་རྩིས།
bs,Dijeljenje (matematika)
br,Rannadur
bxr,Хубаалта
ca,Divisió
cv,Пайласси
cs,Dělení
sn,Kugovanisa
cy,Rhannu (mathemateg)
da,Division (matematik)
ary,قسيم
de,Division (Mathematik)
et,Jagamine
el,Διαίρεση
es,División (matemática)
eo,Divido
eu,Zatiketa (matematika)
fa,تقسیم
fo,Brot
fr,Division
gd,Roinn (matamataig)
gl,División (matemáticas)
gan,除法
hak,Chhù-fap
xal,Хувалһан
ko,나눗셈
hy,Բաժանում (մաթեմատիկա)
hi,विभाजन (गणित)
hr,Dijeljenje
io,Divido (matematiko)
id,Pembagian
ia,Division (mathematica)
xh,Ukwaba/ukwahlula-hlula
is,Deiling
it,Divisione (matematica)
he,חילוק
jv,Paran
kn,ಭಾಗಾಕಾರ
kk,Бөлу
sw,Mgawanyiko
gcr,Divizyon
ku,Parkirin
ky,Бөлүү
la,Divisio (mathematica)
lv,Dalīšana
lt,Dalyba
lfn,Divide (matematica)
hu,Osztás
mk,Делење
ml,ഹരണം
arz,قسمه
ms,Pembahagian
cdo,Dṳ̀-huák
mwl,Debison (matemática)
fj,Tabana
nl,Delen
ja,除法
frr,Dialen (Matematiik)
nb,Divisjon (matematikk)
nn,Divisjon i matematikk
nov,Divisione
oc,Division
or,ହରଣ (ଗଣିତ)
uz,Boʻlish
pa,ਤਕਸੀਮ
ps,تقسيم
jam,Divijan (matimatix)
pl,Dzielenie
pt,Divisão
ro,Împărțire (matematică)
qu,Rakiy
ru,Деление (математика)
sat,ᱦᱟᱴᱟᱬ
sq,Pjesëtimi
scn,Spartuta
en-simple,Division (mathematics)
sk,Delenie (matematika)
sl,Deljenje
so,U qeybin
ckb,دابەشکردن
sr,Дељење
sh,Dijeljenje
fi,Jakolasku
sv,Division (matematik)
tl,Paghahati
ta,வகுத்தல் (கணிதம்)
te,భాగహారం
th,การหาร
tr,Bölme
uk,Ділення
ur,تقسیم (ریاضی)
za,Cawzfap
vec,Divixion
vi,Phép chia
war,Pagtunga-tunga
wuu,除法
yi,צעטיילונג
yue,除
zh,除法
