Language,Title
en,E (mathematical constant)
af,E (wiskunde)
am,ኦይለር ቁጥር
ar,ه (رياضيات)
an,Numero e
ast,Númberu e
az,E (ədəd)
bn,অয়লারের ধ্রুবক
ba,Е (һан)
be,E (лік)
bg,Неперово число
bs,E (broj)
br,E (niver)
ca,Nombre e
cv,E (хисеп)
cs,Eulerovo číslo
da,E (tal)
de,Eulersche Zahl
et,E (arv)
el,E (μαθηματική σταθερά)
es,Número e
eo,E (matematiko)
eu,E (zenbakia)
fa,E (عدد)
fr,E (nombre)
gl,Número e
gan,E (數學常數)
ko,자연로그의 밑
hy,E (թիվ)
hi,E (गणितीय नियतांक)
hr,E (matematička konstanta)
io,Nombro di Euler
id,E (konstanta matematika)
ia,E (constante mathematic)
is,E (stærðfræðilegur fasti)
it,E (costante matematica)
he,E (קבוע מתמטי)
kn,ಈ (ಗಣಿತದ ಸ್ಥಿರಾಂಕ)
ka,E (რიცხვი)
kk,E саны
gcr,E (nonm)
la,Numerus e
lv,E (matemātiska konstante)
lt,E (skaičius)
lfn,Numero e
lmo,E (costant matematega)
hu,Euler-féle szám
mk,Е (број)
ml,E (ഗണിതം)
mr,ई (गणिती स्थिरांक)
ms,E (pemalar)
mn,Эйлерийн тоо
nl,E (wiskunde)
ne,'e' (गणितीय अचर)
ja,ネイピア数
frr,Euler sin taal
nb,Eulers tall
nn,E i matematikk
oc,E (nombre)
jam,Nomba e
pl,Podstawa logarytmu naturalnego
pt,E (constante matemática)
ro,E (constantă matematică)
ru,E (число)
sco,E (mathematical constant)
sq,Numri e
scn,Basi naturali dî logaritmi
si,E (ගණිත නියතය)
en-simple,E (mathematical constant)
sk,Eulerovo číslo
sl,E (matematična konstanta)
ckb,ژمارەی e
sr,E (константа)
sh,Broj e
fi,Neperin luku
sv,E (tal)
ta,E (கணித மாறிலி)
shi,E (amḍan n tusnakt)
tt,E (сан)
th,E (ค่าคงตัว)
tg,Адади Непер
tr,E sayısı
uk,E (число)
ur,E (ریاضیاتی دائم)
vi,E (số)
lzh,歐拉數
wuu,E（数学常数）
yue,E (數學常數)
zh,E (数学常数)
