Language,Title
en,Elementary arithmetic
gsw,Grundrechenart
ar,حساب ابتدائي
bcl,Hababang aritmetika
bg,Прости математически действия
de,Grundrechenart
fa,چهار عمل اصلی
fr,Arithmétique élémentaire
ko,사칙연산
id,Aritmetika dasar
he,ארבע פעולות החשבון
lfn,Aritmetica fundal
hu,Alapműveletek
ms,Aritmetik permulaan
nb,Regneart
pwn,madjulu a sisupuan
pl,Arytmetyka elementarna
ro,Operație aritmetică elementară
sk,Elementárna aritmetika
ckb,چوار کردەی سەرەکی
sv,Elementär aritmetik
tl,Mababang aritmetika
th,เลขคณิตมูลฐาน
tr,Temel aritmetik
vi,Số học sơ cấp
vro,Arvokunsti alostus
yi,חשבון
yue,四則運算
zh,四则运算
