Language,Title
en,Elliptic geometry
ar,هندسة إهليلجية
ca,Geometria el·líptica
cy,Geometreg eliptig
de,Elliptische Geometrie
el,Ελλειπτική γεωμετρία
es,Geometría elíptica
fa,هندسه بیضوی
fr,Géométrie elliptique
ko,타원기하학
hy,Ռիմանի երկրաչափություն
it,Geometria ellittica
ky,Эллипстик геометрия
lt,Elipsinė geometrija
nl,Elliptische meetkunde
ja,楕円幾何学
nb,Elliptisk geometri
pl,Geometria eliptyczna
pt,Geometria elíptica
ro,Geometrie eliptică
ru,Геометрия Римана
sl,Eliptična geometrija
fi,Elliptinen geometria
sv,Elliptisk geometri
tg,Ҳандасаи байзавӣ
uk,Еліптична геометрія
vi,Hình học elliptic
yue,橢圓幾何
