Language,Title
en,Empty set
ar,مجموعة خالية
ast,Conxuntu vacíu
az,Boş çoxluq
ba,Буш күмәклек
be,Пустое мноства
be-tarask,Пустое мноства
bg,Празно множество
bs,Prazan skup
ca,Conjunt buit
cv,Пушă йыш
cs,Prázdná množina
da,Tomme mængde
de,Leere Menge
et,Tühi hulk
el,Κενό σύνολο
es,Conjunto vacío
eo,Malplena aro
eu,Multzo huts
fa,مجموعه تهی
fr,Ensemble vide
gl,Conxunto baleiro
ko,공집합
hy,Դատարկ բազմություն
hi,रिक्त समुच्चय
hr,Prazni skup
id,Himpunan kosong
is,Tómamengi
it,Insieme vuoto
he,הקבוצה הריקה
ka,ცარიელი სიმრავლე
kk,Бос жиын
ku,Koma vala
la,Copia vacua
lv,Tukša kopa
lt,Tuščia aibė
lmo,Insema voeud
hu,Üres halmaz
mk,Празно множество
ml,ശൂന്യഗണം
ms,Set kosong
mn,Хоосон олонлог
nl,Lege verzameling
ja,空集合
nb,Den tomme mengden
nn,Den tomme mengda
pl,Zbiór pusty
pt,Conjunto vazio
ro,Mulțime vidă
ru,Пустое множество
scn,Nzemi vacanti
en-simple,Empty set
sk,Prázdna množina
sl,Prazna množica
szl,Pusto mynga
ckb,کۆمەڵەی بەتاڵ
sr,Празан скуп
sh,Prazan skup
fi,Tyhjä joukko
sv,Tomma mängden
ta,வெற்றுக் கணம்
tt,Буш күплек
th,เซตว่าง
tr,Boş küme
uk,Порожня множина
vi,Tập hợp rỗng
vro,Tühi hulk
lzh,空集
vls,Lege verzoamelienge
wuu,空集
yue,空集
zh,空集
