Language,Title
en,Euclidean geometry
af,Euklidiese meetkunde
am,ዩክሊዳዊ ጂዎሜትሪ
ar,هندسة إقليدية
ast,Xeometría euclídea
az,Evklid həndəsəsi
bn,ইউক্লিডীয় জ্যামিতি
ba,Евклид геометрияһы
be,Еўклідава геаметрыя
be-tarask,Эўклідава геамэтрыя
bcl,Euclidean geometry
bg,Евклидова геометрия
ca,Geometria euclidiana
cv,Евклид геометрийĕ
cs,Eukleidovská geometrie
cy,Geometreg Euclidaidd
da,Euklidisk geometri
de,Euklidische Geometrie
et,Eukleidese geomeetria
el,Ευκλείδεια γεωμετρία
es,Geometría euclidiana
eo,Eŭklida geometrio
eu,Geometria euklidear
fa,هندسه اقلیدسی
fr,Géométrie euclidienne
gl,Xeometría euclidiana
ki,Euclidean Geometry
gu,યુક્લિડિયન ભૂમિતિ
hak,Euclid Kí-hò
ko,유클리드 기하학
hy,Էվկլիդեսյան երկրաչափություն
hi,यूक्लिडीय ज्यामिति
hr,Euklidska geometrija
id,Geometri Euklides
it,Geometria euclidea
he,גאומטריה אוקלידית
kn,ಯುಕ್ಲಿಡ್ 'ನ ಜ್ಯಾಮಿತಿ
kk,Евклидтік геометрия
ky,Евклид геометриясы
la,Geometria Euclidea
lv,Eiklīda ģeometrija
lt,Euklidinė geometrija
lfn,Jeometria euclidal
jbo,euklidi tamcmaci
hu,Euklideszi geometria
mk,Евклидова геометрија
ml,യൂക്ലിഡിയൻ ജ്യാമിതി
ms,Geometri Euclid
mn,Евклидийн геометр
nl,Euclidische meetkunde
ja,ユークリッド幾何学
nb,Euklidsk geometri
nn,Euklidsk geometri
oc,Geometria euclidiana
uz,Yevklid geometriyasi
pms,Geometrìa euclidéa
pl,Geometria euklidesowa
pt,Geometria euclidiana
ro,Geometrie euclidiană
rue,Евклидовска геометрия
ru,Евклидова геометрия
sq,Gjeometria Euklidiane
si,යූක්ලිඩියානු ජ්‍යාමිතිය
en-simple,Euclidean geometry
sk,Euklidovská geometria
sl,Evklidska geometrija
ckb,ئەندازەی ئیقلیدسی
sr,Еуклидова геометрија
sh,Euklidova geometrija
fi,Euklidinen geometria
sv,Euklidisk geometri
ta,யூக்ளீட் வடிவியல்
tt,Евклидча геометрия
tg,Ҳандасаи уқлидусӣ
tr,Öklid geometrisi
uk,Евклідова геометрія
vi,Hình học Euclid
lzh,歐氏幾何
wuu,欧几里得几何
yue,歐幾里得幾何
zh,欧几里得几何
