Language,Title
en,Existential quantification
ca,Quantificador existencial
cs,Existenční kvantifikátor
da,Eksistenskvantor
de,Existenzaussage
et,Olemasolukvantor
es,Cuantificador existencial
eo,Ekzista kvantizanto
fa,سور وجودی
fr,Quantification existentielle
ko,존재 양화사
hy,Գոյության քվանտոր
id,Kuantifikasi eksistensial
it,Quantificatore esistenziale (simbolo)
nl,Existentie
ja,存在記号
pl,Kwantyfikator egzystencjalny
pt,Quantificação existencial
ru,Квантор существования
en-simple,Existence quantifier
sk,Existenčný kvantifikátor
fi,Eksistenssikvanttori
sv,Existenskvantifikator
th,ตัวบ่งปริมาณสำหรับตัวมีจริง
uk,Квантор існування
zh,存在量化
