Language,Title
en,Exponential decay
ar,تضاؤل أسي
be,Закон радыеактыўнага распаду
ca,Decadència exponencial
da,Henfaldskonstant
de,Exponentieller Prozess
et,Eksponentsiaalne kahanemine
es,Decaimiento exponencial
eo,Eksponenta malkresko
fa,ثابت واپاشی
fr,Décroissance exponentielle
ko,지수적 감쇠
hi,चरघातांकी क्षय
hr,Konstanta raspada
it,Decadimento esponenziale
he,דעיכה מעריכית
ka,დაშლის მუდმივა
kk,Радиоактивті ыдырау заңы
nl,Exponentiële afname
ja,指数関数的減衰
pl,Prawo rozpadu naturalnego
pt,Decaimento exponencial
ru,Закон радиоактивного распада
sl,Eksponentni razpad
sr,Eksponencijalni raspad
fi,Eksponentiaalinen hajoaminen
sv,Exponentiellt sönderfall
uk,Експоненційний розпад
vi,Phân rã theo cấp số mũ
yue,指數衰減
zh,指数衰减
