Language,Title
en,Field (mathematics)
ar,حقل (رياضيات)
bn,ক্ষেত্র (গণিত)
nan,Thé (sò͘-ha̍k)
ba,Ялан (алгебра)
be,Поле (алгебра)
bg,Поле (алгебра)
bs,Polje (matematika)
ca,Cos (matemàtiques)
cv,Уй (алгебра)
cs,Komutativní těleso
da,Legeme (algebra)
de,Körper (Algebra)
et,Korpus (matemaatika)
el,Σώμα (άλγεβρα)
es,Cuerpo (matemáticas)
eo,Kampo (algebro)
eu,Gorputz (matematika)
fa,میدان (ریاضیات)
fr,Corps commutatif
gl,Corpo (álxebra)
ko,체 (수학)
hi,क्षेत्र (गणित)
hr,Polje (matematika)
io,Feldo (algebro)
id,Lapangan (matematika)
ia,Corpore (mathematica)
it,Campo (matematica)
he,שדה (מבנה אלגברי)
la,Corpus (mathematica)
lv,Lauks (matemātika)
lb,Kierper (Algeber)
lmo,Camp (matematega)
hu,Test (algebra)
ms,Medan (matematik)
nl,Lichaam (Ned) / Veld (Be)
ja,可換体
nb,Tallkropp
nn,Kropp i matematikk
pms,Camp (matemàtica)
pl,Ciało (matematyka)
pt,Corpo (matemática)
ru,Поле (алгебра)
scn,Campu (matimatica)
en-simple,Field (mathematics)
sk,Pole (algebra)
ckb,مەیدان (ماتماتیک)
sr,Поље (математика)
sh,Polje (matematika)
fi,Kunta (matematiikka)
sv,Kropp (algebra)
ta,களம் (கணிதம்)
th,ฟีลด์
tr,Cisim (cebir)
uk,Поле (алгебра)
ur,میدان
vi,Trường (đại số)
lzh,域 (代數)
wuu,域（数学）
yue,體 (數學)
zh,域 (数学)
