Language,Title
en,Finitary relation
ar,علاقة (منطق)
bn,অন্বয়
be,Дачыненне (матэматыка)
be-tarask,Стасунак
bg,Релация
ca,Relació
cv,Тивĕм (йышсен теорийĕ)
cs,Relace (matematika)
da,Relation (matematik)
de,Relation (Mathematik)
et,Seos (matemaatika)
es,Relación matemática
eo,Rilato (matematiko)
eu,Matematika-erlazio
fr,Relation (mathématiques)
ko,관계 (수학)
hr,Relacija
io,Korespondado o relato
id,Relasi finiter
ia,Relation (mathematica)
it,Relazione (matematica)
la,Relatio (mathematica)
lmo,Relazion (matematega)
hu,Reláció
nl,Relatie (wiskunde)
ja,関係 (数学)
nn,Matematisk relasjon
pms,Relassion
pl,Relacja (matematyka)
pt,Relação (matemática)
ru,Отношение (теория множеств)
en-simple,Relation (mathematics)
sk,Relácia (matematika)
sl,Relacija
sr,Релација (математика)
sh,Relacija
fi,Relaatio
sv,Relation
tr,Bağıntı
uk,Відношення
vi,Quan hệ (toán học)
lzh,關係 (數學)
yue,關係 (數學)
zh,关系 (数学)
