Language,Title
en,Finite field
ar,حقل محدود (رياضيات)
be,Канечнае поле
bg,Крайно поле
ca,Cos finit
cs,Konečné těleso
de,Endlicher Körper
el,Πεπερασμένο σώμα
es,Cuerpo finito
fa,میدان متناهی
fr,Corps fini
ko,유한체
hy,Վերջավոր դաշտ
id,Medan hingga
it,Campo finito
he,שדה סופי
lmo,Camp finii
nl,Eindig lichaam (Ned) / Eindig veld (Be)
ja,有限体
nb,Endelig kropp
pl,Ciało skończone
pt,Corpo finito
ro,Corp finit
ru,Конечное поле
en-simple,Galois field
sr,Коначно поље
fi,Äärellinen kunta
sv,Ändlig kropp
tr,Sonlu alan
uk,Поле Галуа
ur,متناہی میدان
vi,Trường hữu hạn
yue,有限體
zh,有限域
