Language,Title
en,Formal language
ar,لغة متصرفة
az,Formal dillər
bg,Формален език
bs,Formalni jezik
ca,Llenguatge formal
cs,Formální jazyk
da,Formalsprog
de,Formale Sprache
el,Τυπική γλώσσα
es,Lenguaje formal
eo,Formala lingvo
fa,نظریه زبان‌ها
fr,Langage formel
ko,형식 언어
hi,औपचारिक भाषा
hr,Formalni jezik
id,Bahasa formal
it,Linguaggio formale
he,שפה פורמלית
ht,Langaj fòmèl
lt,Formali kalba
lmo,Lenguagg formal
hu,Formális nyelv
mk,Формален јазик
mwl,Lenguaige formal
nl,Formele taal
ja,形式言語
nb,Formelt språk
uz,Rasmiy til
pl,Język formalny
pt,Linguagem formal
ro,Limbaj formal
ru,Формальный язык
sq,Gjuha formale
en-simple,Formal language
sk,Formálny jazyk
ckb,زمانی شێوەیی
sr,Формални језик
sh,Formalni jezik
fi,Formaali kieli
sv,Formellt språk
th,ภาษารูปนัย
tr,Biçimsel dil kuramı
uk,Формальна мова
vi,Ngôn ngữ hình thức
yue,形式語言
zh,形式语言
