Language,Title
en,Fractal geometry
af,Fraktaalmeetkunde
gsw,Fraktal
ar,كسيرة
ast,Fractal
az,Fraktal
bn,ফ্রাক্টাল
ba,Фрактал
be,Фрактал
bg,Фрактал
bs,Fraktal
ca,Fractal
cv,Фрактал
cs,Fraktál
cy,Ffractal
da,Fraktal
de,Fraktal
et,Fraktal
el,Φράκταλ
es,Fractal
eo,Fraktalo
eu,Fraktal
fa,فراکتال
fr,Fractale
ga,Codach
gl,Fractal
ko,프랙탈
hy,Ֆրակտալ
hi,फ्रैक्टल
hr,Fraktal
io,Fraktalo
id,Fraktal
ia,Fractal
zu,Impindampindwano
is,Brotamynd
it,Frattale
he,פרקטל
kn,ಫ್ರಾಕ್ಟಲ್‌
ka,ფრაქტალი
kk,Фрактал
la,Fractal
lv,Fraktālis
lez,Фрактал
lt,Fraktalas
hu,Fraktál
ml,ഫ്രാക്ടൽ
ms,Fraktal
nl,Fractal
ja,フラクタル
nb,Fraktal
nn,Fraktal
pa,ਫ੍ਰੈਕਟਲ
pl,Fraktal
pt,Fractal
ro,Fractal
ru,Фрактал
sah,Фрактал
scn,Frattali
en-simple,Fractal
sk,Fraktál
sl,Fraktal
ckb,فراکتاڵ
sr,Фрактал
sh,Fraktal
fi,Fraktaali
sv,Fraktal
ta,பகுவல்
tt,Фрактал
th,แฟร็กทัล
tr,Fraktal
uk,Фрактал
ur,مکسور
vi,Fractal
lzh,分形
wuu,分形
yue,碎形
zh,分形
