Language,Title
en,Fraction
af,Breuk (wiskunde)
ar,كسر (رياضيات)
as,ভগ্নাংশ
ast,Fraición
ay,Pachjta
az,Kəsr
bn,ভগ্নাংশ
ba,Кәсерҙәр
be,Дроб
be-tarask,Дробы
bcl,Praksyon
bg,Дроб (математика)
br,Rann
ca,Fracció
cv,Вак (математика)
cs,Zlomek
sn,Rupande
cy,Ffracsiwn
da,Brøk
de,Bruchrechnung
et,Murdarv
el,Κλάσμα
es,Fracción
eo,Frakcio (matematiko)
eu,Zatiki (matematika)
fa,کسر
fr,Fraction (mathématiques)
gd,Bloigh (matamataig)
gl,Fracción (matemáticas)
gan,分數
ko,분수 (수학)
hy,Կոտորակ (մաթեմատիկա)
hi,भिन्न
hr,Razlomak
io,Fraciono (matematiko)
id,Pecahan
xh,I-Fraction (yemathematika)
is,Almennt brot
it,Frazione (matematica)
he,שבר (מתמטיקה)
jv,Wilangan pecahan
kn,ಭಿನ್ನಾಂಕ
gcr,Fraksyon (matématik)
ky,Бөлчөк (арифметика)
la,Fractio (mathematica)
lv,Daļskaitlis
lt,Trupmena
lfn,Frato
lg,Omukutule ogwa bulijjo(Common fraction)
lmo,Frazzion
hu,Számolás törtekkel
mk,Дропка
mg,Ampaha (matematika)
ml,ഭിന്നസംഖ്യ
ms,Pecahan
my,အပိုင်းကိန်း
nl,Breuk (wiskunde)
ja,分数
frr,Brööktaal
nb,Brøk
nn,Brøk
oc,Fraccion (matematicas)
om,Hirmeemmii (fraction)
uz,Kasr
blk,ဂဏန်ꩻခေါဝ်
jam,Frakshan (matimatix)
nds,Bröök
pl,Ułamek
pt,Fração
ro,Fracție
qu,Ch'iqtaku
ru,Дробь (математика)
sq,Thyesa
scn,Frazzioni (matimàtica)
en-simple,Fraction (mathematics)
sk,Zlomok (matematika)
sl,Ulomek
ckb,کەرت
sr,Разломак
sh,Razlomak
fi,Murtoluku
sv,Bråk
tl,Hatimbilang
ta,பின்னம்
te,భిన్నం
th,เศษส่วน
tr,Kesir
tk,Drob
uk,Дріб
ur,کسر (ریاضی)
ug,كەسىر
vi,Phân số
war,Fraksyon
wuu,分数
yi,בראכטייל
yue,分數
zh,分數
