Language,Title
en,Function (mathematics)
af,Funksie
gsw,Funktion (Mathematik)
am,አስረካቢ
smn,Funktio
ar,دالة
an,Función matematica
ast,Función matemática
az,Funksiya (riyaziyyat)
bn,অপেক্ষক (গণিত)
nan,Hâm-sò͘
ba,Функция (математика)
be,Функцыя (матэматыка)
be-tarask,Функцыя (матэматыка)
bh,फंक्शन (गणित)
bg,Функция
bs,Funkcija (matematika)
ca,Funció
cv,Функци (математика)
cs,Funkce (matematika)
sn,Murimo (Masvomhu)
cy,Ffwythiant
da,Funktion (matematik)
de,Funktion (Mathematik)
et,Funktsioon (matemaatika)
el,Συνάρτηση
es,Función (matemática)
eo,Funkcio (matematiko)
eu,Funtzio (matematika)
fa,تابع
fo,Funksjón
fr,Fonction (mathématiques)
ga,Feidhm (matamaitic)
gl,Función
gan,函數
xal,Функция
ko,함수
hy,Ֆունկցիա (մաթեմատիկա)
hi,फलन
hr,Funkcija (matematika)
io,Funciono
id,Fungsi (matematika)
ia,Function (mathematica)
is,Fall (stærðfræði)
it,Funzione (matematica)
he,פונקציה
kbp,Kɩlabɩm
ka,ფუნქცია (მათემატიკა)
kk,Функция (математика)
sw,Namba tegemezi
gcr,Fonksyon (matématik)
lo,ຕຳລາ (ຄະນິດສາດ)
la,Functio
lv,Funkcija
lb,Funktioun (Mathematik)
lt,Funkcija (matematika)
jbo,fancu
lmo,Fonzion (matematega)
hu,Függvény (matematika)
mk,Функција (математика)
ml,ഫങ്ഷൻ
mt,Funzjonijiet (matematika)
mr,फल (गणित)
ms,Fungsi
mn,Функц (математик)
my,ဖန်ရှင်
fj,Cakacaka (fika)
nl,Functie (wiskunde)
ja,関数 (数学)
frr,Funksioon
nb,Funksjon (matematikk)
nn,Matematisk funksjon
oc,Aplicacion (matematicas)
om,Warroomii (faankishinii)
uz,Funksiya (matematika)
pa,ਫੰਕਸ਼ਨ (ਹਿਸਾਬ)
pnb,فنکشن
jam,Fongshan (matimatix)
pms,Fonsion
nds,Afbillen (Mathematik)
pl,Funkcja
pt,Função (matemática)
ro,Funcție
qu,Kinraysuyu
ru,Функция (математика)
sah,"Функция. Функция чэрчитэ, суолталарын түмсээнэ"
sco,Function (mathematics)
scn,Funzioni
en-simple,Function (mathematics)
sk,Zobrazenie (matematika)
sl,Funkcija (matematika)
szl,Funkcyjo
so,Shaqada (xisaabta)
ckb,فانکشن (ماتماتیک)
sr,Функција (математика)
sh,Funkcija
su,Fungsi (matematika)
fi,Funktio
sv,Funktion
tl,Punsiyon (matematika)
ta,சார்பு
kab,Tasɣent (tusnakt)
tt,Функция (математика)
th,ฟังก์ชัน (คณิตศาสตร์)
tr,Fonksiyon
udm,Функция (математика)
uk,Функція (математика)
ur,تفاعل (ریاضیات)
ug,فۇنكسىيە
vi,Hàm số
lzh,映射
war,Funsiyon (matematika)
wuu,函数
yi,פונקציע
yue,函數
zh,函数
