Language,Title
am,የጂኦሜትሪክ ዝርዝር
ar,متسلسلة هندسية
bn,গুণোত্তর ধারা
bs,Geometrijski red
ca,Sèrie geomètrica
de,Geometrische Reihe
es,Serie geométrica
fa,سری هندسی
fr,Série géométrique
hi,गुणोत्तर श्रेणी
id,Deret geometrik
it,Serie geometrica
he,סדרה הנדסית
lmo,Serie geometrega
nl,Meetkundige reeks
nb,Geometrisk rekke
nn,Geometrisk rekkje
uz,Geometrik qator
pms,Serie geométrica
pl,Szereg geometryczny
pt,Série geométrica
sl,Geometrična vrsta
ckb,زنجیرەی ئەندازەیی
sr,Геометријски ред
sv,Geometrisk summa
th,อนุกรมเรขาคณิต
tr,Geometrik seri
uk,Геометричний ряд
vi,Chuỗi hình học
zh,幾何級數
